abbreviation,agency,asn,prefix,ip_version,rir_registry,rir_status,rir_assigned_date,rir_short_name,rir_description,collected_at
City and County of Denver,City and County of Denver,AS18815,169.133.0.0/16,ipv4,arin,assigned,2007-08-03,AS-CITY-AND-COUNTY-OF-DENVER,CITY AND COUNTY OF DENVER,2026-06-23T10:32:41Z
City and County of Denver,City and County of Denver,AS18815,169.133.1.0/24,ipv4,arin,assigned,2007-08-03,AS-CITY-AND-COUNTY-OF-DENVER,CITY AND COUNTY OF DENVER,2026-06-23T10:32:41Z
City and County of Denver,City and County of Denver,AS18815,169.133.10.0/24,ipv4,arin,assigned,2007-08-03,AS-CITY-AND-COUNTY-OF-DENVER,CITY AND COUNTY OF DENVER,2026-06-23T10:32:41Z
City and County of Honolulu,City and County of Honolulu,AS46744,206.195.184.0/24,ipv4,arin,assigned,2008-11-21,CCHNL,City and County of Honolulu,2026-06-23T10:32:41Z
City and County of Honolulu,City and County of Honolulu,AS46744,206.195.185.0/24,ipv4,arin,assigned,2008-11-21,CCHNL,City and County of Honolulu,2026-06-23T10:32:41Z
City and County of Honolulu,City and County of Honolulu,AS46744,206.195.186.0/24,ipv4,arin,assigned,2008-11-21,CCHNL,City and County of Honolulu,2026-06-23T10:32:41Z
City and County of Honolulu,City and County of Honolulu,AS46744,206.195.187.0/24,ipv4,arin,assigned,2008-11-21,CCHNL,City and County of Honolulu,2026-06-23T10:32:41Z
City and County of Honolulu,City and County of Honolulu,AS46744,206.195.188.0/24,ipv4,arin,assigned,2008-11-21,CCHNL,City and County of Honolulu,2026-06-23T10:32:41Z
City and County of Honolulu,City and County of Honolulu,AS46744,206.195.190.0/24,ipv4,arin,assigned,2008-11-21,CCHNL,City and County of Honolulu,2026-06-23T10:32:41Z
City and County of Honolulu,City and County of Honolulu,AS46744,206.195.191.0/24,ipv4,arin,assigned,2008-11-21,CCHNL,City and County of Honolulu,2026-06-23T10:32:41Z
City and County of San Francisco,City and County of San Francisco,AS395011,2607:b040::/32,ipv6,arin,assigned,2024-04-30,SF-PSN,City and County of San Francisco,2026-06-23T10:32:41Z
City and County of San Francisco,City and County of San Francisco,AS395011,50.145.45.0/24,ipv4,arin,assigned,2024-04-30,SF-PSN,City and County of San Francisco,2026-06-23T10:32:41Z
