abbreviation,agency,asn,prefix,ip_version,rir_registry,rir_status,rir_assigned_date,rir_short_name,rir_description,collected_at
Argonne National Lab,Argonne National Lab,AS683,130.202.0.0/16,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.0.0/18,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.112.0/20,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.68.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.69.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.70.0/23,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.72.0/21,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.80.0/20,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,140.221.96.0/23,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,146.137.0.0/16,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,146.137.252.0/22,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,146.139.0.0/16,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,164.54.0.0/16,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.148.94.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.148.95.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.170.0/23,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.174.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.175.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.176.0/20,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.200.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.84.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.86.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,192.5.87.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,198.252.143.0/24,ipv4,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:2000::/36,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:4000::/36,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:5000::/36,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:8100::/48,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:9000::/36,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:aaaa::/48,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:e100::/40,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:e200::/48,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2602:278:e220::/48,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
Argonne National Lab,Argonne National Lab,AS683,2620:0:dc0::/48,ipv6,arin,assigned,1990-06-14,ARGONNE-AS,Argonne National Laboratory,2026-06-23T10:32:41Z
California State University,California State University,AS2152,104.249.91.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,104.249.94.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.150.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.150.12.0/22,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.150.15.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.157.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.157.0.0/19,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.157.128.0/17,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.157.32.0/19,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.157.64.0/18,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.166.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.166.51.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.17.0.0/17,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.17.10.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.17.126.0/23,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.17.128.0/17,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.17.2.0/23,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.182.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.191.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.212.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.65.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,130.86.2.0/23,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,132.241.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,132.241.61.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.139.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.139.1.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.139.2.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.154.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.154.1.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.154.120.0/21,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.154.2.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.154.206.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,134.154.222.0/24,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
California State University,California State University,AS2152,136.168.0.0/16,ipv4,arin,assigned,2024-07-08,CENIC-2152,CENIC,2026-06-23T10:32:41Z
