abbreviation,agency,asn,prefix,ip_version,rir_registry,rir_status,rir_assigned_date,rir_short_name,rir_description,collected_at
"Diplomat Pharmacy, Inc","Diplomat Pharmacy, Inc",AS396911,12.132.213.0/24,ipv4,arin,assigned,2018-06-13,DPLO-411SSFLT,"Diplomat Pharmacy, Inc",2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS53314,,,arin,assigned,2009-12-07,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.0.0/16,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.103.0/24,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.104.0/24,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.107.0/24,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.108.0/23,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.11.0/24,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.110.0/23,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.150.0/24,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.176.0/20,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
Express Scripts Incorporated,Express Scripts Incorporated,AS5696,167.18.215.0/24,ipv4,arin,assigned,2009-10-05,EXPRES,Express Scripts Incorporated,2026-07-01T07:40:48Z
