abbreviation,agency,asn,prefix,ip_version,rir_registry,rir_status,rir_assigned_date,rir_short_name,rir_description,collected_at
California Department of Technology,California Department of Technology,AS2642,165.107.0.0/16,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.138.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.205.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.206.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.207.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.208.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.212.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.213.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.214.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.215.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.38.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.42.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.66.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.9.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.91.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.107.92.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,165.66.0.0/16,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,192.234.213.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
California Department of Technology,California Department of Technology,AS2642,192.234.214.0/24,ipv4,arin,assigned,1993-05-13,LEG-CA-GOV,California Department of Technology,2026-06-23T07:58:09Z
