abbreviation,agency,asn,prefix,ip_version,rir_registry,rir_status,rir_assigned_date,rir_short_name,rir_description,collected_at
ACMH Hospital,ACMH Hospital,AS46881,97.107.231.0/24,ipv4,arin,assigned,2009-04-10,ACMH-HOSPITAL,ACMH Hospital,2026-06-23T10:32:35Z
"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.","ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",AS6111,204.156.112.0/23,ipv4,arin,assigned,1995-11-10,FHIS,"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",2026-06-23T10:32:35Z
"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.","ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",AS6111,204.156.112.0/24,ipv4,arin,assigned,1995-11-10,FHIS,"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",2026-06-23T10:32:35Z
"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.","ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",AS6111,204.156.113.0/24,ipv4,arin,assigned,1995-11-10,FHIS,"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",2026-06-23T10:32:35Z
AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,AS395601,,,arin,assigned,2016-10-18,ASHP-HQ,AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,2026-06-23T10:32:35Z
ANNE ARUNDEL MEDICAL CENTER,ANNE ARUNDEL MEDICAL CENTER,AS32291,12.231.215.0/24,ipv4,arin,assigned,2004-04-06,ANNEARUNDELMEDICALCENTER,ANNE ARUNDEL MEDICAL CENTER,2026-06-23T10:32:35Z
ANNE ARUNDEL MEDICAL CENTER,ANNE ARUNDEL MEDICAL CENTER,AS32291,50.202.76.0/24,ipv4,arin,assigned,2004-04-06,ANNEARUNDELMEDICALCENTER,ANNE ARUNDEL MEDICAL CENTER,2026-06-23T10:32:35Z
ANNE ARUNDEL MEDICAL CENTER,ANNE ARUNDEL MEDICAL CENTER,AS32291,67.132.207.0/24,ipv4,arin,assigned,2004-04-06,ANNEARUNDELMEDICALCENTER,ANNE ARUNDEL MEDICAL CENTER,2026-06-23T10:32:35Z
ARKANSAS HEART HOSPITAL ENCORE,ARKANSAS HEART HOSPITAL ENCORE,AS399027,136.175.62.0/24,ipv4,arin,assigned,2020-11-10,AHH-MAIN-01,ARKANSAS HEART HOSPITAL ENCORE,2026-06-23T10:32:35Z
Adena Health System,Adena Health System,AS394425,192.207.59.0/24,ipv4,arin,assigned,2015-09-03,ADENAHEALTHSYSTEM,Adena Health System,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.101.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.102.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.64.0/18,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.64.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.66.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.67.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.84.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.85.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.87.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.88.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.139.96.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.156.120.0/24,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Adventist Health System Sunbelt Healthcare Corporation,Adventist Health System Sunbelt Healthcare Corporation,AS18964,204.156.96.0/20,ipv4,arin,assigned,2000-11-02,AHSSSCI,Adventist Health System Sunbelt Healthcare Corporation,2026-06-23T10:32:35Z
Akron General Medical Center,Akron General Medical Center,AS36588,,,arin,assigned,2015-06-01,AGMC,Akron General Medical Center,2026-06-23T10:32:35Z
Alameda Health System,Alameda Health System,AS53825,63.241.90.0/24,ipv4,arin,assigned,2011-07-05,ACMC-AS,Alameda Health System,2026-06-23T10:32:35Z
Alaska Native Medical Center,Alaska Native Medical Center,AS36056,199.59.216.0/22,ipv4,arin,assigned,2010-04-22,ALASK-15,Alaska Native Medical Center,2026-06-23T10:32:35Z
Allegheny Health Network,Allegheny Health Network,AS22255,165.232.0.0/19,ipv4,arin,assigned,2017-02-23,ALLEGHENYHEALTHNETWORK,Allegheny Health Network,2026-06-23T10:32:35Z
Allegheny Health Network,Allegheny Health Network,AS22255,165.232.192.0/19,ipv4,arin,assigned,2017-02-23,ALLEGHENYHEALTHNETWORK,Allegheny Health Network,2026-06-23T10:32:35Z
Allegheny Health Network,Allegheny Health Network,AS22255,165.232.200.0/24,ipv4,arin,assigned,2017-02-23,ALLEGHENYHEALTHNETWORK,Allegheny Health Network,2026-06-23T10:32:35Z
Allegheny Health Network,Allegheny Health Network,AS22255,165.232.223.0/24,ipv4,arin,assigned,2017-02-23,ALLEGHENYHEALTHNETWORK,Allegheny Health Network,2026-06-23T10:32:35Z
Allegheny Health Network,Allegheny Health Network,AS22255,165.232.224.0/22,ipv4,arin,assigned,2017-02-23,ALLEGHENYHEALTHNETWORK,Allegheny Health Network,2026-06-23T10:32:35Z
Allegheny Health Network,Allegheny Health Network,AS22255,165.232.224.0/24,ipv4,arin,assigned,2017-02-23,ALLEGHENYHEALTHNETWORK,Allegheny Health Network,2026-06-23T10:32:35Z
Allegheny Health Network,Allegheny Health Network,AS22255,165.232.228.0/23,ipv4,arin,assigned,2017-02-23,ALLEGHENYHEALTHNETWORK,Allegheny Health Network,2026-06-23T10:32:35Z
