abbreviation,agency,asn,prefix,ip_version,rir_registry,rir_status,rir_assigned_date,rir_short_name,rir_description,collected_at
Athenahealth,Athenahealth,AS11174,103.252.161.0/24,ipv4,arin,assigned,2007-05-11,AS-ATHEN-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS19563,,,arin,assigned,2019-08-14,ATHEN-EDI,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS36738,162.208.24.0/22,ipv4,arin,assigned,2019-01-04,AS-NVA1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS36738,162.220.216.0/23,ipv4,arin,assigned,2019-01-04,AS-NVA1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS36738,162.220.218.0/23,ipv4,arin,assigned,2019-01-04,AS-NVA1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS36738,204.165.246.0/23,ipv4,arin,assigned,2019-01-04,AS-NVA1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS36738,208.78.140.0/24,ipv4,arin,assigned,2019-01-04,AS-NVA1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS36738,208.78.141.0/24,ipv4,arin,assigned,2019-01-04,AS-NVA1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS36738,208.78.143.0/24,ipv4,arin,assigned,2019-01-04,AS-NVA1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS40515,,,arin,assigned,2007-05-01,AS-CMH1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS46903,162.220.216.0/24,ipv4,arin,assigned,2019-01-04,AS-RCH1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS46903,162.220.218.0/24,ipv4,arin,assigned,2019-01-04,AS-RCH1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS46903,198.36.120.0/22,ipv4,arin,assigned,2019-01-04,AS-RCH1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS46903,198.36.124.0/22,ipv4,arin,assigned,2019-01-04,AS-RCH1-1,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS54593,199.168.57.0/24,ipv4,arin,assigned,2012-03-30,ATHEN-EPOC,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS54593,199.168.59.0/24,ipv4,arin,assigned,2012-03-30,ATHEN-EPOC,Athenahealth,2026-06-23T10:32:36Z
Athenahealth,Athenahealth,AS55169,,,arin,assigned,2013-03-20,ATHEN-RAZOR,Athenahealth,2026-06-23T10:32:36Z
Availity,Availity,AS53690,,,arin,assigned,2010-11-24,AVAILITY-1,Availity,2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,12.20.127.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.151.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.154.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.155.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.170.0/23,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.172.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.200.0/23,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.203.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.209.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.212.0/23,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,199.230.230.0/24,ipv4,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS14639,2602:fd26::/48,ipv6,arin,assigned,2000-01-19,CARDINALHEALTH-AS02,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22539,199.230.168.0/24,ipv4,arin,assigned,2026-01-21,CARDINALHEALTH-PR,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,198.89.160.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,198.89.166.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,198.89.167.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,198.89.170.0/23,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.128.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.129.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.136.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.138.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.139.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.150.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.164.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.231.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.249.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.252.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.253.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.254.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,199.230.255.0/24,ipv4,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS22855,2602:fd26:1::/48,ipv6,arin,assigned,2001-12-05,CARDINALHEALTH-AS01,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Cardinal Health, Inc.","Cardinal Health, Inc.",AS31954,,,arin,assigned,2004-01-30,CARDINALHEALTH-AS03,"Cardinal Health, Inc.",2026-06-23T10:32:36Z
"Carelon Behavioral Health, Inc.","Carelon Behavioral Health, Inc.",AS395650,65.246.88.0/21,ipv4,arin,assigned,2016-11-03,BEAON-PUB01,"Carelon Behavioral Health, Inc.",2026-06-23T10:32:36Z
"Carelon Behavioral Health, Inc.","Carelon Behavioral Health, Inc.",AS395650,65.246.88.0/24,ipv4,arin,assigned,2016-11-03,BEAON-PUB01,"Carelon Behavioral Health, Inc.",2026-06-23T10:32:36Z
"Carelon Behavioral Health, Inc.","Carelon Behavioral Health, Inc.",AS395650,65.246.89.0/24,ipv4,arin,assigned,2016-11-03,BEAON-PUB01,"Carelon Behavioral Health, Inc.",2026-06-23T10:32:36Z
"Carelon Behavioral Health, Inc.","Carelon Behavioral Health, Inc.",AS395650,65.246.90.0/24,ipv4,arin,assigned,2016-11-03,BEAON-PUB01,"Carelon Behavioral Health, Inc.",2026-06-23T10:32:36Z
"Carelon Behavioral Health, Inc.","Carelon Behavioral Health, Inc.",AS395650,65.246.91.0/24,ipv4,arin,assigned,2016-11-03,BEAON-PUB01,"Carelon Behavioral Health, Inc.",2026-06-23T10:32:36Z
"Carelon Behavioral Health, Inc.","Carelon Behavioral Health, Inc.",AS395650,65.246.92.0/24,ipv4,arin,assigned,2016-11-03,BEAON-PUB01,"Carelon Behavioral Health, Inc.",2026-06-23T10:32:36Z
"Carelon Behavioral Health, Inc.","Carelon Behavioral Health, Inc.",AS395650,65.246.94.0/24,ipv4,arin,assigned,2016-11-03,BEAON-PUB01,"Carelon Behavioral Health, Inc.",2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS10962,170.253.64.0/19,ipv4,arin,assigned,1998-02-27,CERNER-CORP-ASN,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS10962,199.21.18.0/24,ipv4,arin,assigned,1998-02-27,CERNER-CORP-ASN,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS10962,199.21.23.0/24,ipv4,arin,assigned,1998-02-27,CERNER-CORP-ASN,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS10962,199.21.28.0/22,ipv4,arin,assigned,1998-02-27,CERNER-CORP-ASN,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS10962,64.46.192.0/18,ipv4,arin,assigned,1998-02-27,CERNER-CORP-ASN,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS13859,,,arin,assigned,1999-08-30,CERNER,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.142.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.192.0/22,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.192.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.194.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.198.0/24,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.204.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.204.0/24,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.205.0/24,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.206.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.206.0/24,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.207.0/24,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.244.0/24,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.4.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,159.140.6.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS17264,198.203.228.0/23,ipv4,arin,assigned,2000-08-14,CERNER-COM,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS27301,198.199.192.0/24,ipv4,arin,assigned,2003-02-10,CERNER-MINNESOTA-DC,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS36502,159.140.0.0/22,ipv4,arin,assigned,2006-01-19,CERNER-CORPORATE-AS,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS36502,159.140.104.0/22,ipv4,arin,assigned,2006-01-19,CERNER-CORPORATE-AS,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS36502,159.140.212.0/22,ipv4,arin,assigned,2006-01-19,CERNER-CORPORATE-AS,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS36502,159.140.252.0/24,ipv4,arin,assigned,2006-01-19,CERNER-CORPORATE-AS,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS36502,159.140.254.0/24,ipv4,arin,assigned,2006-01-19,CERNER-CORPORATE-AS,Cerner Corporation,2026-06-23T10:32:36Z
Cerner Corporation,Cerner Corporation,AS36502,159.140.8.0/21,ipv4,arin,assigned,2006-01-19,CERNER-CORPORATE-AS,Cerner Corporation,2026-06-23T10:32:36Z
"ECLINICALWORKS, LLC","ECLINICALWORKS, LLC",AS398899,163.123.133.0/24,ipv4,arin,assigned,2020-10-07,ECLINICALWORKS-CORP,"ECLINICALWORKS, LLC",2026-06-23T10:32:36Z
Epic Systems Corporation,Epic Systems Corporation,AS10359,199.204.56.0/22,ipv4,arin,assigned,2010-04-12,EPICSYS,Epic Systems Corporation,2026-06-23T10:32:36Z
Epic Systems Corporation,Epic Systems Corporation,AS10359,2620:72::/48,ipv6,arin,assigned,2010-04-12,EPICSYS,Epic Systems Corporation,2026-06-23T10:32:36Z
Epic Systems Corporation,Epic Systems Corporation,AS25747,204.187.138.0/24,ipv4,arin,assigned,2019-03-11,EPICSYS-DR,Epic Systems Corporation,2026-06-23T10:32:36Z
Evolent Health LLC,Evolent Health LLC,AS394512,,,arin,assigned,2019-05-30,EVOLENTHEALTH,Evolent Health LLC,2026-06-23T10:32:36Z
"Greenway Health, LLC","Greenway Health, LLC",AS32924,172.81.136.0/23,ipv4,arin,assigned,2012-05-03,GREENWAY-HEALTH,"Greenway Health, LLC",2026-06-23T10:32:36Z
"Greenway Health, LLC","Greenway Health, LLC",AS32924,172.81.136.0/24,ipv4,arin,assigned,2012-05-03,GREENWAY-HEALTH,"Greenway Health, LLC",2026-06-23T10:32:36Z
"Greenway Health, LLC","Greenway Health, LLC",AS32924,172.81.137.0/24,ipv4,arin,assigned,2012-05-03,GREENWAY-HEALTH,"Greenway Health, LLC",2026-06-23T10:32:36Z
"Greenway Health, LLC","Greenway Health, LLC",AS32924,172.81.138.0/24,ipv4,arin,assigned,2012-05-03,GREENWAY-HEALTH,"Greenway Health, LLC",2026-06-23T10:32:36Z
Guidehouse Inc.,Guidehouse Inc.,AS33144,,,arin,assigned,2004-10-13,NAVIGANTCONSULTING,Guidehouse Inc.,2026-06-23T10:32:36Z
"Health Catalyst, Inc.","Health Catalyst, Inc.",AS396523,,,arin,assigned,2022-09-07,HC-CUST-01,"Health Catalyst, Inc.",2026-06-23T10:32:36Z
