hospital,asn_name,asn
Nationwide Children's Hospital,NCH-AS,AS19600
North Broward Hospital District,BROWARDHEALTH-AS,AS19658
Doylestown Hospital,DOYLESTOWN-HOSPITAL,AS19851
Carson Tahoe Health System,CTHS-ASN-20138,AS20138
Joan and Sanford I. Weill Medical College and Graduate School of Medical Sciences of Cornell University,JSIWMC,AS20252
Yale-New Haven Health Services Corporation,YNHHSC,AS20442
Baylor Health Care System,SW-ORG-AS,AS20467
Unity Health System,UNITYHS-AS,AS21512
Ephrata Community Hospital,ECH-2,AS21516
Cape Fear Valley Medical Center,CFVHS,AS21602
OSF Healthcare System,OSF-ASN-01,AS21666
"Northeast Georgia Medical Center, Inc.",NGMC-ASN,AS21673
CommonSpirit Health,ASN-SJHC,AS21712
Nashville General Hospital,NGH-ASN-01,AS21733
HUNTSVILLE MEMORIAL HOSPITAL,HUNTSVILLE-MEMORIAL-HOSPITAL,AS21791
"Flagler Hospital, Inc",FLAGLERHOSPITALINC,AS21792
WITHAM HOSPITAL,WIT-ASN-01,AS21796
Montefiore Medical Center,MMAHS-01,AS21821
"Oregon Health Network, Inc.",OREGON-HEALTH-NETWORK,AS21905
Providence Health & Services,PHS-PGC,AS22016
Memorial Health Care System,MEMORIAL-HEALTH-CARE,AS22083
Cleveland Clinic Foundation,CCF-NETWORK,AS22093
Allegheny Health Network,ALLEGHENYHEALTHNETWORK,AS22255
Norman Regional Health System,NRHSAS,AS22263
Geisinger System Services,GCSOM,AS22342
Halifax Regional Hospital,HRH,AS22451
Saint Luke's Health System,SAINT-LUKES-HEALTH-SYSTEM-AS,AS22474
Butler Memorial Hospital,INDEPENDENCE-HEALTH-SYSTEM-BUTLER,AS22579
Sparta Community Hospital,SPARTA-COMMUNITY-HOSPITAL,AS22668
Providence Health & Services,PHS-CA,AS22916
Parkland Health & Hospital System,AS-PHHS,AS22945
"Children's Hospital & Health System, Inc.",CHHS-1,AS22955
ST. VINCENT HOSPITAL OF THE HOSPITAL SISTERS OF THE THIRD ORDER OF ST. FRANCIS,SVHHSTOSF-NET,AS22971
Northeast Alabama Regional Medical Center,HCACA-RMCANNISTON-1,AS23037
San Juan Regional Medical Center Inc.,SJRMC-ASN,AS23042
Valley County Health System,VCHS-ORDNE,AS23070
Sutter Health,SUTTERHEALTH,AS23129
Texas Medical Center,TMC,AS23218
Boston Medical Center,BOSMED-88-ENEWTON,AS23235
LSU Health Sciences Center,LSUHEALTHSCIENCESCTR,AS23366
Denver Health and Hospital Authority,DHH-AUTHORITY,AS23458
Chesapeake General Hospital,CGH-MAIN-CAMPUS,AS23508
Detroit Medical Center,DMC,AS25609
North Shore Long Island Jewish Health System,NSLIJHS,AS25611
Genesis Health System,ASN-GENESIS,AS25621
The Milton S. Hershey Medical Center,PSH-01,AS25659
"The New London Hospital Association, Inc",NLHA-INET-AS,AS25810
Virginia Mason Medical Center,VIRGINIA-MASON,AS25845
MERCY MEDICAL CENTER,MERCY,AS25873
UP Health System - Marquette,UPHSM-ASN-01,AS25879
Lima Memorial Hospital,LMHS,AS25918
MJHS Health System,MJHS,AS25936
Marshfield Clinic Inc.,MC-INT,AS25958
Rush University Medical Center,RUSH-EXTERNAL,AS25978
Lexington Medical Center,LMCSC,AS26011
Kootenai Medical Center,KOOTENAIHEALTH,AS26036
Beth Israel Deaconess Medical Center,BIDMC-1,AS26186
Sanford Health,AS-SANFORDFGO,AS26191
North Kansas City Hospital Auxiliary,NKCHA,AS26199
SSM Health Care,ASN-SSM,AS26305
Tahoe Forest Hospital District,TFHD-INTERNET1,AS26336
The University of Vermont Medical Center Inc,THE-UNIVERSITY-OF-VERMONT-MEDICAL-CENTER-1,AS26385
Fisher-Titus Medical Center,FISHER-TITUS,AS26500
Gunnison Valley Hospital,GUNN-VAL-HOSP,AS26631
"Jackson Memorial Hospital, Public Health",JHS-CORP,AS26687
St. Jude Children's Research Hospital,SJCRH,AS26723
CarolinaEast Medical Center,CEMC,AS26741
Hospital Sisters Health Systems,AS-HSHS,AS26748
Chan Soon-Shiong Medical Center at Windber,CSSMCW-AS,AS26756
Tampa General Hospital,TGH-TAMPA,AS26778
Baptist Health System of Alabama,BHSALA,AS26781
Northwest Community Hospital,NCH-AS1,AS26912
"Orlando Health, INC",ORLANDO-HEALTH,AS27014
Danbury Hospital - ITG,DHS-INTERNET,AS27185
Indiana Regional Medical Center,INDIANA-RMC,AS27187
CARILION HEALTH SYSTEM,CARILION-HEALTH-SYSTEM,AS27231
Dartmouth Hitchcock Medical Center,MTASCUTNEYHOSPITALANDHEALTHCENTER,AS27306
VCU HEALTH SYSTEM AUTHORITY,VHSA-AS,AS27326
Sentara Healthcare,SENTARA-HEALTH-CARE,AS27336
Reading Hospital,READING-HOSPITAL,AS27344
Swedish Covenant Hospital,SWEDISH,AS27369
Northern Hospital District of Surry County,NHDSC-ORG,AS27394
Presence Health Network,RHC-INT,AS27562
Providence Hospital,PROVAK,AS27575
Virginia Hospital Center,VHC-ARLINGTON,AS27600
USC-University Hospital,USC-UNIVERSITY-HOSPITAL,AS27609
"New Liberty Hospital District of Clay County, Missouri",NEW-LIBERTY-HOSPITAL,AS29790
Community Hospital of the Monterey Peninsula,CHMP-ASN,AS29878
Univeristy of Chicago Hospitals & Health System,UCHHS-AS,AS29885
Geisinger System Services,GEISINGER,AS29899
Telluride Medical Center,THD-TMC-8750,AS29936
Huntington Memorial Hospital,HUNTINGTONMEMORIALHOSPITAL,AS30258
St. Vincent Hospital,ST-VINCENT,AS30331
SWEDISHAMERICAN HEALTH SYSTEM CORPORATION,SAHS,AS30395
West Jefferson Medical Center,WEST-JEFFERSON-MEDICAL-CENTER-LOUISIANA,AS30424
St. Luke's Roosevelt Hospital Center,AS-SLHC,AS30459
Ridgeview Medical Center,RIDGEVIEW-MEDICAL-CENTER,AS30512
Mount Nittany Medical Center,MNMC,AS30522
"Saint Joseph's Hospital of Atlanta, Inc.",SAINT-JOSEPHS-HOSPITAL-OF-ATLANTA,AS30552
Thorek Memorial Hospital,THOREK-30553,AS30553
East Alabama Medical Center,EAMC-INET,AS30626
Valley Health System,VALLEY-HEALTH-SYSTEM,AS30677
Spectrum Health,SPECT-19-AS,AS30710
Methodist Hospital of Memphis,METHODIST-HEALTHCARE,AS31750
La Rabida Hospital,LARABIDA,AS31759
Ann & Robert H. Lurie Children's Hospital of Chicago,CMMC-I2,AS31770
Baptist Healthcare System,BHS-NET-LOU,AS31801
Murray-Calloway County Hospital,MURRAY-CALLOWAY-COUNTY-HOSPITAL,AS31830
Dignity Health,CATHOLIC-HEALTH-CARE-WEST,AS32013
Children's Hospital Colorado,CHC-AS,AS32022
Wellmont Health System,WELLMONT-TN,AS32104
San Luis Valley Regional Medical Center,SLVRMC,AS32170
PHOENIX CHILDREN'S HOSPITAL,ASN-PHOENIX-CHILDRENS,AS32194
"MIDDLESEX HEALTH SYSTEM, INC.",MIDDLESEX-HOSPITAL,AS32207
Sparrow Health System,SHS-AS-1,AS32219
ANNE ARUNDEL MEDICAL CENTER,ANNEARUNDELMEDICALCENTER,AS32291
Montrose Memorial Hospital,MONTROSE-REGIONAL-HOSPITAL,AS32423
Loma Linda University Medical Center,LLUMC,AS32480
Asante Health System,ASANTEHEALTHSYSTEM-1,AS32511
Kuakini Medical Center,KMC-37-ASN,AS32532
Weill Cornell Medical College in Qatar,WCMCQ-NET,AS32539
Titusville Area Hospital,TAHASN,AS32556
Dekalb Medical Center,DKMC-BGP-DECATUR-GEORGIA-JUNE2004,AS32677
Community Health Network of Connecticut,CHNCTORG,AS32680
University Hospitals Health System,UHHS,AS32707
Brockton Hospital,BROCKTONHOSPITAL-ORG,AS32802
Children's Medical Center of Dallas,CHILDRENS-MEDICAL-CENTER,AS32834
Meadville Medical Center,MMCHS,AS32930
"Kaiser Foundation Health Plan, Inc.",ASN-GHC,AS32974
Boca Raton Regional Hospital Inc.,ASN-33008,AS33008
UC HEALTH,UC-HEALTH-UNIV-OF-CA,AS33092
Heart of the Rockies Regional Medical Center,HEART-OF-THE-ROCKIES,AS33193
Summa Health System,SUMMAHEALTH-ASN,AS33226
Geisinger Jersey Shore Hospital,GJSH,AS33295
GENERAL HEALTH SYSTEM,GENERAL-HEALTH-SYSTEMS,AS33396
St. Joseph's Medical Center,SJRMC-NJ,AS33467
Medical College of Wisconsin,MCW-1-AS,AS33503
Sisters of Mercy Health System,SISTERS-OF-MERCY-HEALTH-SYSTEM,AS33551
The Methodist Hospital,THEMETHODISTHOSPITAL-HOUSTON,AS33563
Meharry Medical College,MEHARRY-I2,AS33669
"Hospital Billing and Collection Service, LTD",HBCS-NC-AS1,AS33714
Bartlett Regional Hospital,BRH,AS33751
The Children's Hospital Corporation,CHC-ASN-A,AS33756
Atlantic Health System,AHSYS-ASN,AS36011
Maury Regional Hospital,MRHS,AS36015
CommonSpirit Health,AS-CHI-CORP,AS36026
Alaska Native Medical Center,ALASK-15,AS36056
Torrance Memorial Medical Center,3330-TMMC,AS36074
Reedsburg Area Medical Center Inc.,RAMCHEALTH,AS36155
Baptist Health System,BAPTISTHEALTH,AS36174
Pagosa Springs Medical Center,USJHSD-AS,AS36301
Stanford Hospital and Clinics,STANFORD-HOSPITAL,AS36306
"Mary Washington Hospital, Inc.",MHSNET,AS36364
North Oaks Health System,NORTH-OAKS-HEALTH-SYSTEM,AS36402
Methodist Health System,METHODIST-HEALTH-SYSTEM,AS36477
Akron General Medical Center,AGMC,AS36588
"Froedtert Memorial Lutheran Hospital, Inc.",FROEDTERT-COMMUNITY-HELATH,AS36600
IMMANUEL MEDICAL CENTER,ALEGENT-HEALTH-1,AS36693
Saint Francis Health System,SAINTFRANCIS-TULSA,AS36807
"The Health Care Authority for Baptist Health, An Affiliate of UAB Health System",HQ-INET-TW-ATT,AS36846
"RWJBarnabas Health, Inc.",AS36861,AS36861
"ST. LUKE'S HEALTH SYSTEM, LTD.",SLHS-AS,AS40113
MaineHealth Maine Medical Center,MAINEHEALTH-MAINE-MEDICAL-CENTER,AS40229
Crouse Hospital,CROUSE-HOSPITAL-AS,AS40277
Pender Community Hospital District,PCHD-ORG-ASN,AS40357
Harbor Regional Health Community Hospital,HRH-GHCH,AS40367
"University Medical Center, Inc",UMC-NET,AS40373
Hennepin County Medical Center,ASN-HCMC,AS40413
Saint Bernard Hospital,STBH-ORG,AS40520
CHILDRENS HOSPITAL OF ORANGE COUNTY,CHOC,AS40525
"Meritus Medical Center, Inc.",MERITUSHEALTH,AS40540
University of New Mexico Health Sciences Center,UNM-HEALTH-SCIENCES,AS40586
York Hospital,WELLSPAN-WOC-AS,AS40588
University Health System,BCHD-AS-1,AS40615
Wentworth-Douglass Hospital,WENTWO-ASN,AS40626
Providence Health & Services,PHS-MT,AS40681
Central Vermont Medical Center,AS-CVMC-CENTRAL-VERMONT-MEDICAL-CENTER,AS40693
UPMC,WESTERN-MD-HEALTH-SYSTEM,AS40742
Mass General Brigham Incorporated,PHS,AS40831
Baylor Health Care System,BAYLOR,AS40910
Kingman Regional Medical Center,KRMC,AS46190
Sanford Health,AS-SANFORDHEALTH,AS46206
Eisenhower Medical Center,EMC-159,AS46233
Guthrie Healthcare System,GUTHRIE-HEALTHCARE-SYSTEMS,AS46236
"F.F. Thompson Health System, Inc.",THOMPSONHEALTH,AS46247
Sutter Health,SUTTERHEALTH,AS46256
Penn Medicine,UPHS,AS46274
OhioHealth Corporation,OHIOHEALTH,AS46277
Harris County Hospital District,HCHD-AS,AS46298
Licking Memorial Hospital,LICKINGMEMORIAL-HS,AS46330
Bassett Medical Center,AS46391,AS46391
Salinas Valley Memorial Hospital,SVMH-AS,AS46425
Sutter Health,SUTTERHEALTH,AS46441
William Beaumont Hospital,WBH-46465,AS46465
Texas Tech University Health Sciences Center,TTUHSC,AS46476
Unity Health System,RGHS,AS46483
University of Tennessee Medical Center,UT-MEDICAL-CENTER,AS46512
William Beaumont Hospital,WBH-ISC-RO,AS46620
Beebe Medical Center Inc.,BEEBE-MEDICAL-CENTER,AS46624
Sutter Health,SUTTERHEALTH,AS46648
Freeman Health System,FREEMAN-HEALTH,AS46756
Providence Health & Services,PHS-WA,AS46790
Littleton Regional Hospital,LRHNET1,AS46820
"Centrastate Medical Center, Inc.",CENTRASTATE-MEDICAL-CENTER,AS46835
Huntsville Hospital,HUNTSVILLEHOSPITAL,AS46875
