hospital,asn_name,asn
Willis-Knighton Medical Center,WKMC-ASN,AS395982
Catskill Regional Medical Center,CRMC2017,AS396060
Steward Health Care System LLC,STEWARDHEALTHCARE,AS396151
Hospital for Special Care,HOSPITALFORSPECIALCARE,AS396214
"NCH Healthcare System, Inc.",NCH-HEALTHCARE-SYSTEM,AS396291
Richmond Memorial Hospital,FHC,AS396312
Holzer Health System,HHS-DC,AS396336
Genesis Healthcare System,GENESISHCS,AS396381
MultiCare Health System,MULTICARE-HEALTH-SYSTEM,AS396402
Anderson Hospital,ANDERSON,AS396404
"Community Medical Center, Inc",COMMUNITY-MEDICAL-CENTER,AS396433
ENLOE MEDICAL CENTER,EMC,AS396505
"Nebraska Methodist Health System, Inc.",NMHS,AS396862
Kings Daughters Medical Center,KDOH-ASN,AS396942
Morris Hospital,BGP,AS396995
"St. Elizabeth Medical Center, Inc.",SEH-CDC,AS397093
"Union Hospital, Inc.",UNION-HEALTH-SYSTEM,AS397150
New Bridge Medical Center,NBMC,AS397176
Columbia Memorial Hospital,CMH-ASTORIA-OR01,AS397294
"Medisys Health Network, Inc.",MEDISYS-36,AS397352
Silver Cross Hospital,SCHMC-ASN,AS397366
"Temple University Health System, Inc.",TEMPLE-HEALTH,AS397380
Delta County Memorial Hospital,DCMH-DELTA-01,AS397406
Kearney Regional Medical Center LLC,KRMC-01,AS397414
Parrish Medical Center,PMCWEB,AS397431
GUADALUPE REGIONAL MEDICAL CENTER,GRMC-ASN-PRIMARY,AS397436
Mille Lacs Health System,MLHS,AS397638
Mt San Rafael Hospital,ARCHULETA-INNOVATION-DESIGNS,AS397713
Fulton County Medical Center,FCMC-68234330,AS397729
RIVERVIEW HOSPITAL,RVH-ASN,AS397775
Concord Hospital,CONCORD-HOSPITAL-ASN-01,AS397779
Gila Regional Medical Center,GRMC-SC1,AS397796
Southern Tennessee Regional Health System Winchester,STMC,AS397817
Community Memorial Health System,CMHSHEALTH,AS397850
Saratoga Hospital,SARATOGAHOSP,AS397854
Memorial Hospital and Health Care Center,MEMORIAL-HOSPITAL-HEALTH-CARE-CENTER,AS397856
"Columbus Community Hospital, Inc.",COLUMBUSHOSP-AS-01,AS397891
St. Luke's Hospital,SAINT-LUKES-HOSPITAL-CHESTERFIELD,AS397947
Pomona Valley Hospital Medical Center,PVHMC-AS,AS398023
Grand Island Regional Medical Center,GIRMC-NET-01,AS398168
Graham Health System,GRAHAM-HEALTH-SYSTEM-IL,AS398201
Driscoll Children's Hospital,DCH-ASN-01,AS398380
Montrose Memorial Hospital,MMH-BGP-01,AS398405
RIVERSIDE HEALTH SYSTEM,RIVHS-01,AS398408
"Froedtert South, Inc.",FS-01,AS398579
Scottish Rite Hospital for Children,SRH-ASN,AS398702
Cass Regional Medical Center,CASS-REGIONAL,AS398902
The Children's Hospital of Alabama,COA-ASN,AS398932
ARKANSAS HEART HOSPITAL ENCORE,AHH-MAIN-01,AS399027
"Bellin Memorial Hospital, Inc.",BELLIN-MEMORIAL-HOSPITAL,AS399071
Good Shepherd Medical Center,GOOD-SHEPHERD,AS399149
MARY GREELEY MEDICAL CENTER,MGMC-NET,AS399270
Columbia Basin Hospital,GCPHD-CBH,AS399317
"Froedtert South, Inc.",FSI-23,AS399411
Greater Regional Medical Center,GRMC,AS399413
"Jackson Memorial Hospital, Public Health",JHS-B2B,AS399453
Straub Clinic & Hospital,HAWAIIPACIFICHEALTH-ASN-01,AS399518
Harlan County Health System,HCHS-30,AS399754
North Mississippi Medical Center Inc.,NMMC-ASN-1,AS400185
"Southcoast Health System, Inc.",SOUTHCOAST-HEALTH-01,AS400357
Jackson County Memorial Hospital,JCMH,AS400396
Sisters of Charity Hospital,CHS,AS400411
CARE NEW ENGLAND HEALTH SYSTEM,CNEHS,AS400419
University of California Davis Medical Center,UC-DAVIS-HEALTH,AS400452
Natividad Medical Center,NMC-1441,AS400484
West Holt Memorial Hospital,WESTHOLT-ASN-01,AS400531
Waianae District Comprehensive Health & Hospital Board Inc,WCCHC-01,AS400611
Dayton General Hospital,DGH-PUBLIC,AS400627
MERCY MEDICAL CENTER,MHS-CC-1,AS400658
Melissa Memorial Hospital,MMH-01,AS400707
Dayton Children's Hospital,DAYTON-CHILDRENS-HOSPITAL,AS400800
Logan Health Medical Center,LOGAN-HEALTH,AS400886
Shannon Medical Center,SMC-ASN,AS400947
Midland County Hospital District,MCHD-6-01,AS400948
Schneck Medical Center,JCSMH-ASN-01,AS400977
"St. Mary's Medical Center, Inc.",MHN,AS401426
"Tift Regional Health System, Inc.",AS-TRMC,AS401490
"Bayhealth Medical Center, Inc.",BAYHEALTH-MEDICAL-CENTER-INC,AS401509
DuBois Regional Medical Center,PHMV-AS-1,AS401657
Good Samaritan Hospital,GSH-AS,AS401844
VALLEY VIEW HOSPITAL ASSOCIATION,VVHOSP,AS401963
Bingham Memorial Hospital,BINGHAM-MEMORIAL-HOSPITAL,AS401983
Arkansas Children's Hospital,ACH-ASN-01,AS401995
University Hospital,UHNJ-ASN,AS402099
"Marion General Hospital, Inc.",MGH-MDF-01,AS402195
