vendor,asn_name,asn
Epic Systems Corporation,EPICSYS,AS10359
Cerner Corporation,CERNER-CORP-ASN,AS10962
Athenahealth,AS-ATHEN-1,AS11174
Omnicell,OMNICELL,AS11803
Cerner Corporation,CERNER,AS13859
"Cardinal Health, Inc.",CARDINALHEALTH-AS02,AS14639
Microsoft Corporation,NUANCE-BURLINGTON,AS14783
Microsoft Corporation,NUANCE-NOD,AS17144
Cerner Corporation,CERNER-COM,AS17264
"Medical Information Technology, Inc.",MEDITECH-1,AS18962
Athenahealth,ATHEN-EDI,AS19563
"Cardinal Health, Inc.",CARDINALHEALTH-PR,AS22539
"Cardinal Health, Inc.",CARDINALHEALTH-AS01,AS22855
Epic Systems Corporation,EPICSYS-DR,AS25747
Netsmart Technologies,NETSMART-PLEXUS-CLOUD,AS26058
Cerner Corporation,CERNER-MINNESOTA-DC,AS27301
Microsoft Corporation,NUANCE-SOMERVILLE,AS30520
"Cardinal Health, Inc.",CARDINALHEALTH-AS03,AS31954
"Greenway Health, LLC",GREENWAY-HEALTH,AS32924
Guidehouse Inc.,NAVIGANTCONSULTING,AS33144
"Surescripts, LLC",SURESCRIPTS,AS33675
Cerner Corporation,CERNER-CORPORATE-AS,AS36502
Athenahealth,AS-NVA1-1,AS36738
Netsmart Technologies,MDRX,AS40283
Athenahealth,AS-CMH1-1,AS40515
Athenahealth,AS-RCH1-1,AS46903
"WebMD Health Services Group, Inc.",WHS-WEBMD,AS53501
Availity,AVAILITY-1,AS53690
"Surescripts, LLC",KRYPTIQ,AS53869
Microsoft Corporation,NUANCE-MOBILITY,AS54396
"NextGen Healthcare Information Systems, LLC.",NEXTGENHEALTH,AS54577
Athenahealth,ATHEN-EPOC,AS54593
Athenahealth,ATHEN-RAZOR,AS55169
Evolent Health LLC,EVOLENTHEALTH,AS394512
"Carelon Behavioral Health, Inc.",BEAON-PUB01,AS395650
Inovalon Inc.,INOVALON,AS396018
"NextGen Healthcare Information Systems, LLC.",NEXTGEN-HUNT-VALLEY,AS396376
"Health Catalyst, Inc.",HC-CUST-01,AS396523
Netsmart Technologies Inc.,NETSMART-IIT,AS397655
"ECLINICALWORKS, LLC",ECLINICALWORKS-CORP,AS398899
