pbm,asn_name,asn
Express Scripts Incorporated,EXPRES,AS5696
"Medco Health Solutions, Inc",MEDCO,AS13373
Walgreens Co,WALGREENS,AS13626
"Omnicare, Inc.",NCS-HEALTHCARE,AS18862
"MedImpact Healthcare Systems, Inc.",MEDIMPACT,AS19878
Rite Aid Corporation,RITEAID,AS21543
Prime Therapeutics LLC,PRIMET-INET-AS,AS27020
"Omnicare, Inc.",AS-NCI-ASHBURN,AS35942
Prime Therapeutics LLC,PRIMET-INET-COLO-AS,AS46659
Prime Therapeutics LLC,PRIMET-INET-CLOUDX-AS,AS46751
Express Scripts Incorporated,EXPRES,AS53314
"Navitus Health Solutions, LLC",NAVITUS,AS55208
"Diplomat Pharmacy, Inc",DPLO-411SSFLT,AS396911
