datacenter,asn
Akamai Technologies,AS16625
DigitalOcean,AS14061
Alibaba (US) Technology,AS45102
Oracle Corporation,AS31898
Google Fiber,AS16591
Cloudflare,AS13335
Avaya Inc,AS18676
Rackspace Hosting,AS33070
Linode LLC,AS63949
Rackspace Hosting,AS19994
Fastly,AS54113
Rackspace Hosting,AS27357
