agency_id,agency,sub_agency,authorized_products,reused_products,in_process_products,sponsored_atos,reported_authorizations,reported_reuses,website,source_last_change
22-008,Administrative Office of the United States Courts,,4,6,0,1,4,10,https://www.uscourts.gov/,2026-09-23
22-008-02,Administrative Office of the United States Courts - Alabama Middle District,Alabama Middle District,1,0,0,0,1,7,,2026-09-23
22-008-01,Administrative Office of the United States Courts - US Bankruptcy Court - Middle District of Tennessee,US Bankruptcy Court - Middle District of Tennessee,1,0,0,0,1,7,,2026-09-23
22-008-03,Administrative Office of the United States Courts - US Bankruptcy Court - West District of Kentucky,US Bankruptcy Court - West District of Kentucky,1,0,0,0,1,7,,2026-09-23
22-086,Advisory Council on Historic Preservation,,1,0,1,1,1,3,https://www.achp.gov/,2026-09-23
22-081,American Battle Monuments Commission,,6,6,0,0,6,19,https://www.abmc.gov/,2026-09-23
22-088,Chemical Safety And Hazard Investigation Board,,4,4,0,0,4,19,https://www.csb.gov/,2026-09-23
22-066,Commission of Fine Arts,,1,1,0,0,1,0,https://www.cfa.gov/,2026-09-23
22-045,Commodity Futures Trading Commission,,24,23,0,1,24,38,https://www.cftc.gov/,2026-09-23
22-037,Consumer Financial Protection Bureau,,19,16,0,3,19,38,https://www.consumerfinance.gov/,2026-09-23
22-051,Consumer Product Safety Commission,,26,26,0,1,27,44,https://www.cpsc.gov/,2026-09-23
22-024,Corporation for National & Community Service,,18,14,0,4,18,30,https://www.americorps.gov/,2026-09-23
22-033,Council of the Inspectors General on Integrity and Efficiency,,17,17,0,0,17,22,https://www.ignet.gov/,2026-09-23
22-072,Court Services and Offender Supervision Agency,,4,4,0,0,4,2,https://www.csosa.gov/,2026-09-23
22-075,Defense Nuclear Facilities Safety Board,,9,8,0,2,10,17,https://www.dnfsb.gov/,2026-09-23
22-034,Department of Agriculture,,86,81,3,15,91,64,https://www.usda.gov/,2026-09-23
22-034-03,Department of Agriculture - Animal and Plant Health Inspection Service,Animal and Plant Health Inspection Service,1,0,0,0,1,3,,2026-09-23
22-034-01,Department of Agriculture - National Institute of Food and Agriculture,National Institute of Food and Agriculture,1,0,0,0,1,0,,2026-09-23
22-034-02,Department of Agriculture - United States Forest Service,United States Forest Service,7,0,0,5,7,17,,2026-09-23
22-034-04,Department of Agriculture - USDA Office of the Inspector General,USDA Office of the Inspector General,1,0,0,0,1,3,,2026-09-23
22-011,Department of Commerce,,24,226,0,5,26,66,https://www.commerce.gov/,2026-09-23
22-011-09,Department of Commerce - Bureau of Economic Analysis,Bureau of Economic Analysis,8,0,0,0,8,12,,2026-09-23
22-011-08,Department of Commerce - Bureau of Industry and Security,Bureau of Industry and Security,2,0,0,1,2,3,,2026-09-23
22-011-11,Department of Commerce - DOC Office of Inspector General,DOC Office of Inspector General,1,0,0,0,1,0,,2026-09-23
22-011-06,Department of Commerce - First Responder Network Authority,First Responder Network Authority,25,0,0,1,30,31,,2026-09-23
22-011-04,Department of Commerce - International Trade Administration,International Trade Administration,6,0,0,1,7,11,,2026-09-23
22-011-02,Department of Commerce - National Institute of Standards and Technology,National Institute of Standards and Technology,32,0,0,4,35,37,,2026-09-23
22-011-03,Department of Commerce - National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,39,0,0,4,39,43,,2026-09-23
22-011-10,Department of Commerce - National Telecommunications and Information Administration,National Telecommunications and Information Administration,16,0,0,0,16,29,,2026-09-23
22-011-01,Department of Commerce - United States Census Bureau,United States Census Bureau,27,0,0,4,31,31,,2026-09-23
22-011-05,Department of Commerce - United States Patent and Trademark Office,United States Patent and Trademark Office,52,0,1,3,54,48,,2026-09-23
22-016-18,Department of Defense - Defense Commissary Agency,Defense Commissary Agency,2,0,0,2,2,11,,2026-09-23
22-016-11,Department of Defense - Defense Counterintelligence and Security Agency,Defense Counterintelligence and Security Agency,3,0,0,1,3,8,,2026-09-23
22-016-45,Department of Defense - Defense Finance and Accounting Service,Defense Finance and Accounting Service,1,0,1,0,1,1,,2026-09-23
22-016-02,Department of Defense - Defense Health Agency,Defense Health Agency,2,0,0,0,2,0,,2026-09-23
22-016-01,Department of Defense - Defense Information Systems Agency,Defense Information Systems Agency,50,0,1,16,52,34,,2026-09-23
22-016-21,Department of Defense - Defense Innovation Unit,Defense Innovation Unit,4,0,0,2,4,10,,2026-09-23
22-016-09,Department of Defense - Defense Logistics Agency,Defense Logistics Agency,1,0,1,0,1,0,,2026-09-23
22-016-25,Department of Defense - Defense Security Cooperation Agency,Defense Security Cooperation Agency,1,0,0,0,1,2,,2026-09-23
22-016-24,Department of Defense - Department of Defense Education Activity,Department of Defense Education Activity,1,0,0,0,1,7,,2026-09-23
22-016-08,Department of Defense - Department of the Navy,Department of the Navy,9,0,4,2,9,20,,2026-09-23
22-016-43,Department of Defense - Joint Special Operations Command,Joint Special Operations Command,1,0,0,0,1,7,,2026-09-23
22-016-20,Department of Defense - Joint Special Operations Medical Training Center,Joint Special Operations Medical Training Center,1,0,0,0,1,0,,2026-09-23
22-016-38,Department of Defense - Missile Defense Agency,Missile Defense Agency,2,0,0,0,2,0,,2026-09-23
22-016-33,Department of Defense - National Defense University,National Defense University,1,0,0,0,1,0,,2026-09-23
22-016-28,Department of Defense - National Geospatial-Intelligence Agency,National Geospatial-Intelligence Agency,1,0,0,1,1,4,,2026-09-23
22-016-19,Department of Defense - Naval Information Warfare Center,Naval Information Warfare Center,1,0,0,1,1,13,,2026-09-23
22-016-44,Department of Defense - Naval Nuclear Propulsion Program,Naval Nuclear Propulsion Program,1,0,0,1,1,5,,2026-09-23
22-016-47,Department of Defense - Naval Systems Sea Command,Naval Systems Sea Command,3,0,0,0,3,5,,2026-09-23
22-016-48,Department of Defense - Special Operations Command,Special Operations Command,2,0,0,0,2,10,,2026-09-23
22-016-36,"Department of Defense - Special Operations Command, Pacific","Special Operations Command, Pacific",2,0,0,1,2,4,,2026-09-23
22-016-07,Department of Defense - United States Air Force,United States Air Force,9,0,4,4,10,9,,2026-09-23
22-016-03,Department of Defense - United States Army,United States Army,5,0,1,1,5,12,,2026-09-23
22-016-27,Department of Defense - United States Army Corps of Engineers,United States Army Corps of Engineers,4,0,0,3,4,7,,2026-09-23
22-016-04,Department of Defense - United States Marine Corps,United States Marine Corps,2,0,0,0,2,7,,2026-09-23
22-016-42,Department of Defense - United States Space Force,United States Space Force,1,0,0,1,1,0,,2026-09-23
22-016-06,Department of Defense - Warfighting Acquisition University,Warfighting Acquisition University,8,0,0,0,8,13,,2026-09-23
22-022,Department of Education,,44,57,0,5,45,0,https://www.ed.gov/,2026-09-23
22-022-01,Department of Education - Federal Student Aid,Federal Student Aid,20,0,1,3,20,0,,2026-09-23
22-007,Department of Energy,,57,265,2,20,59,0,https://www.energy.gov/,2026-09-23
22-007-17,Department of Energy - Argonne National Laboratory,Argonne National Laboratory,36,0,0,1,37,0,,2026-09-23
22-007-10,Department of Energy - Bonneville Power Administration,Bonneville Power Administration,1,0,0,0,1,3,,2026-09-23
22-007-25,Department of Energy - Brookhaven Site Office,Brookhaven Site Office,16,0,0,0,17,35,,2026-09-23
22-007-20,Department of Energy - DOE Office of the General Counsel,DOE Office of the General Counsel,1,0,0,1,1,9,,2026-09-23
22-007-14,Department of Energy - DOE Office of the Inspector General,DOE Office of the Inspector General,1,0,0,0,1,0,,2026-09-23
22-007-02,Department of Energy - Energy Information Administration,Energy Information Administration,1,0,0,1,1,8,,2026-09-23
22-007-18,Department of Energy - Environmental Management Consolidated Business Center,Environmental Management Consolidated Business Center,8,0,0,0,9,13,,2026-09-23
22-007-04,Department of Energy - Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,34,0,0,4,34,39,,2026-09-23
22-007-28,Department of Energy - Fermi National Accelerator Laboratory,Fermi National Accelerator Laboratory,20,0,0,0,21,30,,2026-09-23
22-007-16,Department of Energy - Golden Field Office,Golden Field Office,2,0,0,0,2,3,,2026-09-23
22-007-06,Department of Energy - Idaho Operations Office,Idaho Operations Office,1,0,0,0,1,1,,2026-09-23
22-007-11,Department of Energy - Los Alamos National Laboratory,Los Alamos National Laboratory,6,0,0,0,6,22,,2026-09-23
22-007-13,Department of Energy - National Nuclear Security Administration,National Nuclear Security Administration,14,0,3,3,14,23,,2026-09-23
22-007-15,Department of Energy - National Nuclear Security Administration / Energy Efficiency and Renewable Energy,National Nuclear Security Administration / Energy Efficiency and Renewable Energy,2,0,0,0,2,1,,2026-09-23
22-007-09,Department of Energy - National Nuclear Security Administration / Kansas City Field Office,National Nuclear Security Administration / Kansas City Field Office,8,0,0,0,8,18,,2026-09-23
22-007-03,Department of Energy - National Nuclear Security Administration / Lawrence Livermore National Laboratory,National Nuclear Security Administration / Lawrence Livermore National Laboratory,19,0,0,1,20,34,,2026-09-23
22-007-07,Department of Energy - National Nuclear Security Administration / Nevada Field Office,National Nuclear Security Administration / Nevada Field Office,10,0,0,1,10,22,,2026-09-23
22-007-12,Department of Energy - National Renewable Energy Laboratory,National Renewable Energy Laboratory,1,0,0,0,1,0,,2026-09-23
22-007-23,Department of Energy - National Training Center,National Training Center,3,0,0,0,3,6,,2026-09-23
22-007-01,Department of Energy - Oak Ridge National Laboratory,Oak Ridge National Laboratory,2,0,0,1,2,2,,2026-09-23
22-007-21,Department of Energy - Office of Electricity,Office of Electricity,1,0,0,0,1,0,,2026-09-23
22-007-27,Department of Energy - Pantex Field Office,Pantex Field Office,3,0,0,0,3,10,,2026-09-23
22-007-19,Department of Energy - Savannah River National Lab,Savannah River National Lab,12,0,0,0,13,23,,2026-09-23
22-007-05,Department of Energy - Southwestern Power Administration,Southwestern Power Administration,4,0,0,1,4,10,,2026-09-23
22-007-22,Department of Energy - Strategic Petroleum Reserve,Strategic Petroleum Reserve,24,0,0,1,25,40,,2026-09-23
22-007-24,Department of Energy - Western Area Power Administration,Western Area Power Administration,2,0,0,0,2,17,,2026-09-23
22-007-29,Department of Energy - Y12 Field Office,Y12 Field Office,2,0,0,0,2,1,,2026-09-23
22-005,Department of Health and Human Services,,54,299,2,18,98,0,https://www.hhs.gov/,2026-09-23
22-005-09,Department of Health and Human Services - Administration for Children & Families,Administration for Children & Families,27,0,0,1,28,0,,2026-09-23
22-005-05,Department of Health and Human Services - Administration for Community Living,Administration for Community Living,6,0,0,0,6,14,,2026-09-23
22-005-22,Department of Health and Human Services - Advanced Research Projects Agency for Health,Advanced Research Projects Agency for Health,1,0,0,0,1,7,,2026-09-23
22-005-02,Department of Health and Human Services - Agency for Healthcare Research and Quality,Agency for Healthcare Research and Quality,10,0,0,0,23,17,,2026-09-23
22-005-04,Department of Health and Human Services - Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,21,0,1,4,22,37,,2026-09-23
22-005-06,Department of Health and Human Services - Centers for Medicare & Medicaid Services,Centers for Medicare & Medicaid Services,26,0,2,11,26,36,,2026-09-23
22-005-01,Department of Health and Human Services - Food and Drug Administration,Food and Drug Administration,39,0,0,2,42,34,,2026-09-23
22-005-08,Department of Health and Human Services - Health Resources and Services Administration,Health Resources and Services Administration,30,0,0,0,32,40,,2026-09-23
22-005-12,Department of Health and Human Services - HHS Office of the Inspector General,HHS Office of the Inspector General,13,0,0,4,13,22,,2026-09-23
22-005-20,Department of Health and Human Services - Indian Health Services,Indian Health Services,8,0,0,1,8,22,,2026-09-23
22-005-03,Department of Health and Human Services - National Cancer Institute,National Cancer Institute,14,0,0,3,14,31,,2026-09-23
22-005-13,Department of Health and Human Services - National Center for Advancing Translational Sciences,National Center for Advancing Translational Sciences,1,0,0,1,1,7,,2026-09-23
22-005-10,"Department of Health and Human Services - National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute",7,0,0,6,7,18,,2026-09-23
22-005-14,Department of Health and Human Services - National Institute of Allergy and Infectious Diseases,National Institute of Allergy and Infectious Diseases,2,0,0,2,2,10,,2026-09-23
22-005-11,Department of Health and Human Services - National Institutes of Health,National Institutes of Health,25,0,2,8,26,31,,2026-09-23
22-005-19,Department of Health and Human Services - NIH/National Institute of Child Health and Human Development,NIH/National Institute of Child Health and Human Development,1,0,0,0,1,1,,2026-09-23
22-005-15,Department of Health and Human Services - NIH/National Institute on Alcohol Abuse and Alcoholism,NIH/National Institute on Alcohol Abuse and Alcoholism,1,0,0,0,1,7,,2026-09-23
22-005-24,Department of Health and Human Services - Office of Financial Systems Policy and Oversight,Office of Financial Systems Policy and Oversight,1,0,0,0,1,1,,2026-09-23
22-005-07,Department of Health and Human Services - Office of the National Coordinator for Health Information Technology,Office of the National Coordinator for Health Information Technology,1,0,0,1,1,6,,2026-09-23
22-005-21,Department of Health and Human Services - Substance Abuse and Mental Health Service Administration,Substance Abuse and Mental Health Service Administration,8,0,0,0,8,16,https://www.samhsa.gov/,2026-09-23
22-002,Department of Homeland Security,,14,174,3,5,17,0,https://www.dhs.gov/,2026-09-23
22-002-02,Department of Homeland Security - Customs and Border Protection,Customs and Border Protection,30,0,0,6,30,40,,2026-09-23
22-002-08,Department of Homeland Security - Cybersecurity & Infrastructure Security Agency,Cybersecurity & Infrastructure Security Agency,37,0,1,4,40,0,,2026-09-23
22-002-11,Department of Homeland Security - DHS Headquarters,DHS Headquarters,4,0,0,0,5,13,,2026-09-23
22-002-06,Department of Homeland Security - Federal Emergency Management Agency,Federal Emergency Management Agency,21,0,1,4,31,25,,2026-09-23
22-002-03,Department of Homeland Security - Federal Law Enforcement Training Centers,Federal Law Enforcement Training Centers,5,0,0,0,6,11,,2026-09-23
22-002-04,Department of Homeland Security - Immigration and Customs Enforcement,Immigration and Customs Enforcement,40,0,1,3,44,37,,2026-09-23
22-002-05,Department of Homeland Security - Transportation Security Administration,Transportation Security Administration,5,0,0,0,5,13,,2026-09-23
22-002-01,Department of Homeland Security - United States Citizenship and Immigration Services,United States Citizenship and Immigration Services,6,0,0,3,6,22,https://www.uscis.gov/,2026-09-23
22-002-09,Department of Homeland Security - United States Coast Guard,United States Coast Guard,9,0,0,1,10,14,,2026-09-23
22-002-07,Department of Homeland Security - United States Secret Service,United States Secret Service,8,0,0,2,8,10,,2026-09-23
22-012,Department of Housing and Urban Development,,14,33,0,5,15,34,https://www.hud.gov/,2026-09-23
22-012-01,Department of Housing and Urban Development - Government National Mortgage Association,Government National Mortgage Association,13,0,0,1,13,11,,2026-09-23
