domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
gsaadvantage.gov,No,Yes,3,1,2025-07-16T00:00:00,2027-01-21T23:59:59,27760916087;19709126094;19741187026,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
www.gsaadvantage.gov,Yes,Yes,3,1,2025-07-16T00:00:00,2027-01-21T23:59:59,27760916087;19709126094;19741187026,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
