domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
registry.usa.gov,Yes,Yes,4,2,2026-04-10T23:20:50,2026-09-07T23:21:05,27036220237;27036222493;25529026071;25748792729,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=YR1"
search.usa.gov,Yes,Yes,3,2,2025-09-16T00:00:00,2026-10-15T23:59:59,25855982244;25522046079;21069270186,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Let's Encrypt, CN=R12"
staging.search.usa.gov,Yes,Yes,3,1,2026-02-05T00:00:00,2027-03-06T23:59:59,24191976417;24707524229;24190508032,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
standards.usa.gov,Yes,Yes,2,1,2025-09-28T00:00:00,2026-10-26T23:59:59,21332983672;21331886686,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
tell-us.usa.gov,Yes,Yes,4,2,2026-04-10T23:20:51,2026-09-07T23:21:06,25748793256;25466383061;27036232590;27036225720,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R12"
tellus.usa.gov,Yes,Yes,4,2,2026-04-08T23:21:17,2026-09-05T23:21:06,25425989680;26980349134;25671121297;26980330903,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R13"
usa.gov,Yes,Yes,8,3,2025-11-12T00:00:00,2026-11-30T23:59:59,22441926381;22414111078;26516936256;25263570549;25265542290;26667579184;26516936550;26667577158,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=R12;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
vote.usa.gov,Yes,Yes,4,2,2026-04-09T02:21:17,2026-09-06T02:21:06,26983854443;25445908755;25483440152;26983864399,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R13"
www.gobierno.usa.gov,Yes,Yes,4,2,2026-04-09T02:21:17,2026-09-06T02:21:06,25451064313;26983855920;25676692532;26983864986,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=YR1"
www.my.usa.gov,Yes,Yes,4,2,2026-04-10T23:20:50,2026-09-07T23:21:05,27036226260;27036231932;25748792354;25495663481,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R12"
www.promotions.usa.gov,Yes,Yes,4,2,2026-04-09T02:21:16,2026-09-06T02:21:06,26983856246;25451064299;25787057216;26983866443,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R12"
www.search.usa.gov,No,Yes,2,1,2026-04-14T14:52:14,2026-07-13T14:52:13,25855982244;25522046079,"C=US, O=Let's Encrypt, CN=R12"
www.usa.gov,Yes,Yes,2,1,2026-05-20T23:21:34,2026-08-18T23:21:33,26505040500;26505038020,"C=US, O=Let's Encrypt, CN=R12"
