domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
headstart.gov,No,Yes,4,1,2025-11-21T00:00:00,2026-12-02T23:59:59,22648575385;22869990465;22869969104;22648559916,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
ipd.headstart.gov,Yes,Yes,2,1,2026-01-08T00:00:00,2027-02-02T23:59:59,23641444074;23641443230,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
secure.headstart.gov,Yes,Yes,2,1,2025-12-02T00:00:00,2026-12-02T23:59:59,22869990465;22869969104,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
www.headstart.gov,Yes,Yes,2,1,2025-11-21T00:00:00,2026-11-21T23:59:59,22648575385;22648559916,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
www.ipd.headstart.gov,No,Yes,2,1,2026-01-08T00:00:00,2027-02-02T23:59:59,23641444074;23641443230,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
www.secure.headstart.gov,No,Yes,2,1,2025-12-02T00:00:00,2026-12-02T23:59:59,22869990465;22869969104,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
