domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
safe.ntia.gov,Yes,Yes,4,1,2025-12-20T00:00:00,2026-11-10T23:59:59,26239737885;23246259496;23244620760;26241286421,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
san-16-s12.tlsprovisioning.exacttarget.com,Yes,No,2,1,2026-03-05T00:00:00,2026-09-19T23:59:59,24790903869;24791846165,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog03.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772249665;18772351756,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog04.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772446863;18772419448,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog05.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772514645;18772553379,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog06.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772606116;18772634386,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog07.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772701221;18772676211,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog08.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772765879;18772735632,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog09.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772821611;18772793273,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog10.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772890149;18772866646,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog12.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772924440;18772951016,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
seadog14.its.ntia.gov,Yes,Yes,2,1,2025-06-02T00:00:00,2026-07-03T23:59:59,18772987422;18773013574,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
slfcp.ntia.gov,Yes,Yes,4,2,2026-01-13T00:00:00,2027-01-12T23:59:59,23746617046;24653509524;23746589075;23822797606,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
slfcpdev.ntia.gov,Yes,Yes,4,2,2026-01-13T00:00:00,2027-01-12T23:59:59,23746617046;24495198130;23822797606;23746589075,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
slfcpstaging.ntia.gov,Yes,Yes,4,2,2026-01-13T00:00:00,2027-01-12T23:59:59,23746617046;24536367253;23746589075;23822797606,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
slfcptest.ntia.gov,Yes,Yes,4,2,2026-01-13T00:00:00,2027-01-12T23:59:59,23746617046;24551040265;23822797606;23746589075,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
