domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
sampretl02.sam.gov,No,Yes,2,2,2024-11-06T16:21:59,2026-05-19T23:59:59,15238962294;18479963733,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samprrh8dir01.sam.gov,Yes,Yes,3,3,2024-10-01T23:56:19,2026-05-14T23:59:59,15324187979;14763355594;18448464408,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samprrh8etl.sam.gov,Yes,Yes,3,2,2024-11-06T16:21:59,2026-05-19T23:59:59,18445761125;15238962294;18479963733,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samprrh8mqs02.sam.gov,Yes,Yes,2,2,2025-03-06T13:49:27,2026-05-15T23:59:59,16951889275;18445647516,"C=US, O=SSL Corporation, CN=Entrust EV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samrdtrh8api.sam.gov,Yes,Yes,2,2,2024-09-06T14:13:32,2026-05-19T23:59:59,14451812480;18467951335,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samrdtrh8jba.sam.gov,Yes,Yes,2,2,2024-09-06T14:15:00,2026-05-19T23:59:59,18467807173;14451826125,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samrdtrh8knc.sam.gov,Yes,Yes,2,2,2024-09-06T14:16:40,2026-05-19T23:59:59,18467614904;14451844464,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samrdtrh8knp.sam.gov,Yes,Yes,2,2,2024-09-06T14:18:23,2026-05-19T23:59:59,18467640858;14451854723,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samrdtrh8pgs01.sam.gov,Yes,Yes,2,2,2025-04-17T14:48:05,2026-05-15T23:59:59,17905685480;18445671732,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
samrdvrh8api.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18468008517,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samrdvrh8jba.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18467844705,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samrdvrh8knc.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18467460167,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
