domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
gsaauctions.gov,No,Yes,3,2,2026-04-10T00:00:00,2027-03-26T23:59:59,25462125886;25716958190;29325840040,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M01"
ppms.gov,Yes,No,3,2,2026-04-10T00:00:00,2027-03-26T23:59:59,25462125886;25716958190;29325840040,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M01"
