timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-05-23T11:36:55.617364147Z,null,null,cloudfront,cdn,,443,https://ipd.headstart.gov,ipd.headstart.gov,https://ipd.headstart.gov/login/index.php,Redirect,https,,nginx,,text/html,GET,ipd.headstart.gov,13.35.78.51,/,,,,,,371.406494ms,,null,"[""13.35.78.91"",""13.35.78.51"",""13.35.78.79"",""13.35.78.38""]","[""2600:9000:20ea:1400:14:3a3b:ff40:93a1"",""2600:9000:20ea:9600:14:3a3b:ff40:93a1"",""2600:9000:20ea:ba00:14:3a3b:ff40:93a1"",""2600:9000:20ea:5000:14:3a3b:ff40:93a1"",""2600:9000:20ea:b800:14:3a3b:ff40:93a1"",""2600:9000:20ea:4600:14:3a3b:ff40:93a1"",""2600:9000:20ea:6400:14:3a3b:ff40:93a1"",""2600:9000:20ea:e600:14:3a3b:ff40:93a1""]","[""ipd-prod.headstart-gov.info"",""d2d2d2sxzl5ypp.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS"",""Moodle"",""Nginx"",""PHP""]",30,7,303,445,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53""]",null,null,null,,
2026-05-23T11:36:55.849958008Z,null,null,cloudfront,cdn,,443,https://www.headstart.gov,www.headstart.gov,,Head Start | HeadStart.gov,https,,,,text/html,GET,www.headstart.gov,18.160.41.128,/,,,,,,193.843893ms,,null,"[""18.160.41.128"",""18.160.41.90"",""18.160.41.40"",""18.160.41.6""]","[""2600:9000:24f2:bc00:13:a296:8200:93a1"",""2600:9000:24f2:f600:13:a296:8200:93a1"",""2600:9000:24f2:9400:13:a296:8200:93a1"",""2600:9000:24f2:7000:13:a296:8200:93a1"",""2600:9000:24f2:9200:13:a296:8200:93a1"",""2600:9000:24f2:2800:13:a296:8200:93a1"",""2600:9000:24f2:8200:13:a296:8200:93a1"",""2600:9000:24f2:2a00:13:a296:8200:93a1""]","[""headstart.gov""]","[""Amazon ALB"",""Amazon CloudFront"",""Amazon Web Services"",""Drupal:10"",""Google Maps"",""Google Tag Manager"",""HSTS"",""PHP"",""Varnish:6.0""]",16952,1255,200,64593,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-23T11:36:55.864765661Z,null,null,cloudfront,cdn,,443,https://headstart.gov,headstart.gov,,Head Start | HeadStart.gov,https,,,,text/html,GET,headstart.gov,99.84.160.10,/,,,,,,215.307496ms,,null,"[""99.84.160.33"",""99.84.160.28"",""99.84.160.118"",""99.84.160.10""]","[""2600:9000:24f2:4e00:13:a296:8200:93a1"",""2600:9000:24f2:6400:13:a296:8200:93a1"",""2600:9000:24f2:6000:13:a296:8200:93a1"",""2600:9000:24f2:6a00:13:a296:8200:93a1"",""2600:9000:24f2:1800:13:a296:8200:93a1"",""2600:9000:24f2:bc00:13:a296:8200:93a1"",""2600:9000:24f2:5600:13:a296:8200:93a1"",""2600:9000:24f2:3c00:13:a296:8200:93a1""]",null,"[""Amazon ALB"",""Amazon CloudFront"",""Amazon Web Services"",""Drupal:10"",""Google Maps"",""Google Tag Manager"",""HSTS"",""PHP"",""Varnish""]",16952,1255,200,64573,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
